"DATE","REVENUE","SUN_HOURS","PRECIPITATION","SNOW_DEPTH","TEMPERATURE"
"2020-01-01",7637,0,0,0,0
"2020-01-02",9276,"0.3725",0,0,"5.8"
"2020-01-03",11170,"0.263611111111111",0,0,"5.4"
"2020-01-04",11863,"3.54861111111111",0,0,"2.4"
"2020-01-05",10880,"2.5125","2.4",0,"0.1"
"2020-01-06",6702,"0.0933333333333333","0.2",0,"4.8"
"2020-01-07",8652,0,0,0,"5.5"
"2020-01-08",8346,"0.161666666666667",0,0,"6.5"
"2020-01-09",6543,"0.319444444444444","0.6",0,"3.9"
"2020-01-10",8115,"1.58694444444444",0,0,1
"2020-01-11",7728,0,"0.2",0,"1.2"
"2020-01-12",10649,"0.441944444444444",0,0,"5.9"
"2020-01-13",6787,"2.42083333333333",0,0,"2.6"
"2020-01-14",4555,0,"7.4",0,"3.8"
"2020-01-15",5885,0,0,0,"7.8"
"2020-01-16",10127,"0.855833333333333",0,0,"6.1"
"2020-01-17",8893,0,0,0,"4.8"
"2020-01-18",12520,"0.055",0,0,"4.8"
"2020-01-19",11860,"6.18555555555556",0,0,"3.1"
"2020-01-20",8515,"0.773055555555556",0,0,"3.8"
"2020-01-21",8129,"2.09777777777778",0,0,"6.8"
"2020-01-22",10405,"3.5525",0,0,"3.2"
"2020-01-23",6672,"2.02694444444444",0,0,"1.5"
"2020-01-24",12300,"4.97361111111111",0,0,"5.1"
"2020-01-25",10651,"4.45861111111111",0,0,"2.1"
"2020-01-26",11882,0,0,0,"5.8"
"2020-01-27",9397,0,"0.6",0,"4.8"
"2020-01-28",5174,0,"10.9",0,"3.4"
"2020-01-29",4436,0,"1.5",0,"3.3"
"2020-01-30",6202,0,"0.2",0,"2.4"
"2020-01-31",9949,0,2,0,3
"2020-02-01",10192,"1.5075","1.5",0,"6.1"
"2020-02-02",13904,"6.70888888888889","0.6",0,"3.8"
"2020-02-03",11208,"6.85888888888889",0,0,"0.5"
"2020-02-04",8578,"0.0913888888888889","0.2",0,"-1.3"
"2020-02-05",6638,"3.96861111111111",0,0,"0.5"
"2020-02-06",7093,"3.26555555555556","0.1",0,"0.4"
"2020-02-07",8187,"1.15611111111111",0,0,"0.1"
"2020-02-08",10099,0,"0.8",0,"2.4"
"2020-02-09",8160,"1.14805555555556","6.4",0,"4.5"
"2020-02-10",3797,"0.239444444444444","0.7",0,"5.7"
"2020-02-11",8734,"0.691666666666667",0,0,4
"2020-02-12",4355,"1.69333333333333","1.5",0,"3.2"
"2020-02-13",8452,"8.53333333333333",0,0,1
"2020-02-14",7367,"6.6625",0,0,"0.8"
"2020-02-15",9339,"0.0141666666666667","4.6",0,"3.8"
"2020-02-16",5427,0,"1.5",0,"7.1"
"2020-02-17",7022,"1.55083333333333","0.1",0,"6.6"
"2020-02-18",8417,"2.58805555555556",0,0,"6.6"
"2020-02-19",8760,"7.62638888888889",0,0,"4.5"
"2020-02-20",4936,"3.16527777777778",5,0,"2.8"
"2020-02-21",11273,"7.49055555555556",0,0,"5.7"
"2020-02-22",7046,"0.200555555555556","0.8",0,"6.5"
"2020-02-23",10074,"6.78666666666667",0,0,"5.2"
"2020-02-24",9114,"8.94694444444444",0,0,"2.3"
"2020-02-25",4493,"2.53583333333333","1.1",0,"1.4"
"2020-02-26",4992,"0.519444444444444","0.5",0,"0.2"
"2020-02-27",3789,0,"0.8","0.01","-1.3"
"2020-02-28",7480,"6.55861111111111","0.2","0.05","-1.3"
"2020-02-29",8358,"2.2575","4.5","0.05","1.1"
"2020-03-01",7269,"0.915555555555556",1,0,"4.2"
"2020-03-02",6489,"6.01888888888889",4,0,"4.4"
"2020-03-03",3586,0,"7.2",0,"3.7"
"2020-03-04",2570,0,"6.4",0,"2.1"
"2020-03-05",5059,"0.0466666666666667","0.1",0,"2.1"
"2020-03-06",9087,"9.34805555555556",0,0,2
"2020-03-07",11570,"2.85055555555556",0,0,"1.9"
"2020-03-08",10476,"2.89916666666667",0,0,"4.5"
"2020-03-09",8977,"3.605",2,0,"6.8"
"2020-03-10",4509,"0.728888888888889",4,0,5
"2020-03-11",5837,"0.135555555555556",0,0,"5.6"
"2020-03-12",3559,"0.661388888888889","15.2",0,"4.9"
"2020-03-13",7489,"5.24972222222222","0.1",0,"2.1"
"2020-03-14",8138,"11.1911111111111",0,0,"-0.9"
"2020-03-15",8876,"5.43888888888889","2.1",0,2
"2020-03-16",4800,"6.09472222222222","2.9",0,"4.1"
"2020-03-17",3836,"0.590833333333333",0,0,"5.7"
"2020-03-18",2750,"1.32916666666667","5.8",0,"6.3"
"2020-03-19",7715,"11.575","0.1",0,"5.5"
"2020-03-20",4364,"3.21694444444444","0.1",0,"2.1"
"2020-03-21",9393,"10.3733333333333",0,0,0
"2020-03-22",7830,"11.1352777777778",0,0,"0.1"
"2020-03-23",4858,"6.43416666666667",0,0,"2.8"
"2020-03-24",5140,"5.35",0,0,"4.2"
"2020-03-25",7043,"6.95083333333333",0,0,7
"2020-03-26",8662,"11.4422222222222",0,0,"6.5"
"2020-03-27",9196,"9.69944444444444",0,0,"6.2"
"2020-03-28",8267,"3.41638888888889",0,0,"5.3"
"2020-03-29",8237,"11.6991666666667",0,0,"1.3"
"2020-03-30",4249,"7.365","0.1",0,"0.1"
"2020-03-31",8291,"10.2366666666667",0,0,"3.4"
