"DATE";"SUN_HOURS";"PRECIPITATION";"SNOW_DEPTH";"TEMPERATURE"
"2020-01-01";0;0;0;0
"2020-01-02";"0.3725";0;0;"5.8"
"2020-01-03";"0.263611111111111";0;0;"5.4"
"2020-01-04";"3.54861111111111";0;0;"2.4"
"2020-01-05";"2.5125";"2.4";0;"0.1"
"2020-01-06";"0.0933333333333333";"0.2";0;"4.8"
"2020-01-07";0;0;0;"5.5"
"2020-01-08";"0.161666666666667";0;0;"6.5"
"2020-01-09";"0.319444444444444";"0.6";0;"3.9"
"2020-01-10";"1.58694444444444";0;0;1
"2020-01-11";0;"0.2";0;"1.2"
"2020-01-12";"0.441944444444444";0;0;"5.9"
"2020-01-13";"2.42083333333333";0;0;"2.6"
"2020-01-14";0;"7.4";0;"3.8"
"2020-01-15";0;0;0;"7.8"
"2020-01-16";"0.855833333333333";0;0;"6.1"
"2020-01-17";0;0;0;"4.8"
"2020-01-18";"0.055";0;0;"4.8"
"2020-01-19";"6.18555555555556";0;0;"3.1"
"2020-01-20";"0.773055555555556";0;0;"3.8"
"2020-01-21";"2.09777777777778";0;0;"6.8"
"2020-01-22";"3.5525";0;0;"3.2"
"2020-01-23";"2.02694444444444";0;0;"1.5"
"2020-01-24";"4.97361111111111";0;0;"5.1"
"2020-01-25";"4.45861111111111";0;0;"2.1"
"2020-01-26";0;0;0;"5.8"
"2020-01-27";0;"0.6";0;"4.8"
"2020-01-28";0;"10.9";0;"3.4"
"2020-01-29";0;"1.5";0;"3.3"
"2020-01-30";0;"0.2";0;"2.4"
"2020-01-31";0;2;0;3
"2020-02-01";"1.5075";"1.5";0;"6.1"
"2020-02-02";"6.70888888888889";"0.6";0;"3.8"
"2020-02-03";"6.85888888888889";0;0;"0.5"
"2020-02-04";"0.0913888888888889";"0.2";0;"-1.3"
"2020-02-07";"1.15611111111111";0;0;"0.1"
"2020-02-08";0;"0.8";0;"2.4"
"2020-02-09";"1.14805555555556";"6.4";0;"4.5"
"2020-02-10";"0.239444444444444";"0.7";0;"5.7"
"2020-02-11";"0.691666666666667";0;0;4
"2020-02-12";"1.69333333333333";"1.5";0;"3.2"
"2020-02-13";"8.53333333333333";0;0;1
"2020-02-14";"6.6625";0;0;"0.8"
"2020-02-15";"0.0141666666666667";"4.6";0;"3.8"
"2020-02-16";0;"1.5";0;"7.1"
"2020-02-17";"1.55083333333333";"0.1";0;"6.6"
"2020-02-18";"2.58805555555556";0;0;"6.6"
"2020-02-19";"7.62638888888889";0;0;"4.5"
"2020-02-20";"3.16527777777778";5;0;"2.8"
"2020-02-21";"7.49055555555556";0;0;"5.7"
"2020-02-22";"0.200555555555556";"0.8";0;"6.5"
"2020-02-23";"6.78666666666667";0;0;"5.2"
"2020-02-24";"8.94694444444444";0;0;"2.3"
"2020-02-25";"2.53583333333333";"1.1";0;"1.4"
"2020-02-26";"0.519444444444444";"0.5";0;"0.2"
"2020-02-27";0;"0.8";"0.01";"-1.3"
"2020-02-28";"6.55861111111111";"0.2";"0.05";"-1.3"
"2020-02-29";"2.2575";"4.5";"0.05";"1.1"
"2020-03-01";"0.915555555555556";1;0;"4.2"
"2020-03-02";"6.01888888888889";4;0;"4.4"
"2020-03-03";0;"7.2";0;"3.7"
"2020-03-04";0;"6.4";0;"2.1"
"2020-03-05";"0.0466666666666667";"0.1";0;"2.1"
"2020-03-06";"9.34805555555556";0;0;2
"2020-03-07";"2.85055555555556";0;0;"1.9"
"2020-03-08";"2.89916666666667";0;0;"4.5"
"2020-03-09";"3.605";2;0;"6.8"
"2020-03-11";"0.135555555555556";0;0;"5.6"
"2020-03-12";"0.661388888888889";"15.2";0;"4.9"
"2020-03-13";"5.24972222222222";"0.1";0;"2.1"
"2020-03-14";"11.1911111111111";0;0;"-0.9"
"2020-03-15";"5.43888888888889";"2.1";0;2
"2020-03-16";"6.09472222222222";"2.9";0;"4.1"
"2020-03-17";"0.590833333333333";0;0;"5.7"
"2020-03-18";"1.32916666666667";"5.8";0;"6.3"
"2020-03-19";"11.575";"0.1";0;"5.5"
"2020-03-20";"3.21694444444444";"0.1";0;"2.1"
"2020-03-21";"10.3733333333333";0;0;0
"2020-03-22";"11.1352777777778";0;0;"0.1"
"2020-03-23";"6.43416666666667";0;0;"2.8"
"2020-03-24";"5.35";0;0;"4.2"
"2020-03-25";"6.95083333333333";0;0;7
"2020-03-26";"11.4422222222222";0;0;"6.5"
"2020-03-27";"9.69944444444444";0;0;"6.2"
"2020-03-28";"3.41638888888889";0;0;"5.3"
"2020-03-30";"7.365";"0.1";0;"0.1"
"2020-03-31";"10.2366666666667";0;0;"3.4"
